Rank,Player,Club,Goals[18]
1,Teddy Sheringham,Nottingham Forest Tottenham Hotspur,22
2,Les Ferdinand,Queens Park Rangers,20
3,Dean Holdsworth,Wimbledon,19
4,Micky Quinn,Coventry City,17
5,Alan Shearer,Blackburn Rovers,16
5,David White,Manchester City,16
7,Chris Armstrong,Crystal Palace,15
7,Eric Cantona,Leeds United Manchester United,15
7,Brian Deane,Sheffield United,15
7,Mark Hughes,Manchester United,15
7,Matt Le Tissier,Southampton,15
7,Mark Robins,Norwich City,15
7,Ian Wright,Arsenal,15
