Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Arsenal (C),38,26,9,3,79,36,+43,87,Qualification for the Champions League first group stage
2,Liverpool,38,24,8,6,67,30,+37,80,Qualification for the Champions League first group stage
3,Manchester United,38,24,5,9,87,45,+42,77,Qualification for the Champions League third qualifying round
4,Newcastle United,38,21,8,9,74,52,+22,71,Qualification for the Champions League third qualifying round
5,Leeds United,38,18,12,8,53,37,+16,66,Qualification for the UEFA Cup first round[a]
6,Chelsea,38,17,13,8,66,38,+28,64,Qualification for the UEFA Cup first round[a]
7,West Ham United,38,15,8,15,48,57,−9,53,
8,Aston Villa,38,12,14,12,46,47,−1,50,Qualification for the Intertoto Cup third round
9,Tottenham Hotspur,38,14,8,16,49,53,−4,50,
10,Blackburn Rovers,38,12,10,16,55,51,+4,46,Qualification for the UEFA Cup first round[b]
11,Southampton,38,12,9,17,46,54,−8,45,
12,Middlesbrough,38,12,9,17,35,47,−12,45,
13,Fulham,38,10,14,14,36,44,−8,44,Qualification for the Intertoto Cup second round
14,Charlton Athletic,38,10,14,14,38,49,−11,44,
15,Everton,38,11,10,17,45,57,−12,43,
16,Bolton Wanderers,38,9,13,16,44,62,−18,40,
17,Sunderland,38,10,10,18,29,51,−22,40,
18,Ipswich Town (R),38,9,9,20,41,64,−23,36,UEFA Cup QR and relegation to the First Division[c]
19,Derby County (R),38,8,6,24,33,63,−30,30,Relegation to the Football League First Division
20,Leicester City (R),38,5,13,20,30,64,−34,28,Relegation to the Football League First Division
