Player,For,Against,Result,Date
Michael Owen,Liverpool,Manchester City,3–0,28 September 2002
James Beattie,Southampton,Fulham,4–2,27 October 2002
Ruud van Nistelrooy,Manchester United,Newcastle United,5–3,23 November 2002
Robbie Keane,Tottenham Hotspur,Everton,4–3,12 January 2003
Thierry Henry,Arsenal,West Ham United,3–1,27 January 2003
Ruud van Nistelrooy,Manchester United,Fulham,3–0,22 March 2003
Mark Viduka,Leeds United,Charlton Athletic,6–1,5 April 2003
Paul Scholes,Manchester United,Newcastle United,6–2,12 April 2003
Michael Owen4,Liverpool,West Bromwich Albion,6–0,26 April 2003
Ruud van Nistelrooy,Manchester United,Charlton Athletic,4–1,3 May 2003
Jermaine Pennant,Arsenal,Southampton,6–1,7 May 2003
Robert Pires,Arsenal,Southampton,6–1,7 May 2003
Freddie Ljungberg,Arsenal,Sunderland,4–0,11 May 2003
