#,Football club,Home games,Average attendance[25]
1,Manchester United,19,75826
2,Arsenal FC,19,60045
3,Newcastle United,19,50686
4,Liverpool FC,19,43561
5,Chelsea FC,19,41542
6,Manchester City,19,39997
7,Everton FC,19,36739
8,Aston Villa,19,36214
9,Tottenham Hotspur,19,35739
10,West Ham United,19,34719
11,Sheffield United,19,30512
12,Middlesbrough FC,19,27730
13,Charlton Athletic,19,26195
14,Reading FC,19,23829
15,Bolton Wanderers,19,23606
16,Fulham FC,19,22279
17,Blackburn Rovers,19,21275
18,Portsmouth FC,19,19862
19,Watford FC,19,18751
20,Wigan Athletic,19,18159
