Team,Outgoing manager,Manner of departure,Date of vacancy,Position in table,Incoming manager,Date of appointment
Wigan Athletic,Paul Jewell,Resigned,14 May 2007[11],Pre-season,Chris Hutchings,14 May 2007[12]
Newcastle United,Nigel Pearson (caretaker),End of caretaker period,14 May 2007,Pre-season,Sam Allardyce,15 May 2007[13]
Manchester City,Stuart Pearce,Sacked,14 May 2007[14],Pre-season,Sven-Göran Eriksson,6 July 2007[15]
Chelsea,José Mourinho,Mutual consent,20 September 2007[16],5th,Avram Grant,20 September 2007[16]
Bolton Wanderers,Sammy Lee,Mutual consent,17 October 2007[17],19th,Gary Megson,25 October 2007[18]
Tottenham Hotspur,Martin Jol,Sacked,25 October 2007[19],18th,Juande Ramos,27 October 2007[20]
Wigan Athletic,Chris Hutchings,Sacked,5 November 2007[21],18th,Steve Bruce,26 November 2007[22]
Birmingham City,Steve Bruce,Signed by Wigan,19 November 2007[22],15th,Alex McLeish,28 November 2007[23]
Derby County,Billy Davies,Mutual consent,26 November 2007[24],20th,Paul Jewell,28 November 2007[25]
Fulham,Lawrie Sanchez,Sacked,21 December 2007[26],18th,Roy Hodgson,30 December 2007[27]
Newcastle United,Sam Allardyce,Mutual consent,9 January 2008[28],11th,Kevin Keegan,16 January 2008[29]
