رتبه,تیم,بازی,برد,تساوی,باخت,گل‌زده,گل‌خورده,تفاضل‌گل‌,امتیاز,صعود یا سقوط
1,باشگاه فوتبال منچستر یونایتد (C),38,27,6,5,80,22,+58,87,لیگ قهرمانان اروپا ۰۹–۲۰۰۸
2,باشگاه فوتبال چلسی,38,25,10,3,65,0,+65,85,لیگ قهرمانان اروپا ۰۹–۲۰۰۸
3,باشگاه فوتبال آرسنال,38,24,11,3,74,0,+74,83,لیگ قهرمانان اروپا ۰۹–۲۰۰۸
4,باشگاه فوتبال لیورپول,38,21,13,4,67,0,+67,76,لیگ قهرمانان اروپا ۰۹–۲۰۰۸
5,باشگاه فوتبال اورتون,38,19,8,11,55,0,+55,65,2008–09 UEFA Cup First round
6,باشگاه فوتبال استون ویلا,38,16,12,10,71,0,+71,60,2008 UEFA Intertoto Cup Third round
7,باشگاه فوتبال بلکبرن روورز,38,15,13,10,50,0,+50,58,
8,باشگاه فوتبال پورتسموث,38,16,9,13,48,0,+48,57,2008–09 UEFA Cup First round[الف]
9,باشگاه فوتبال منچستر سیتی,38,15,10,13,45,0,+45,55,2008–09 UEFA Cup First qualifying round[ب]
10,باشگاه فوتبال وستهام یونایتد,38,13,10,15,42,0,+42,49,
11,باشگاه فوتبال تاتنهام هاتسپر,38,11,13,14,66,0,+66,46,2008–09 UEFA Cup First round[پ]
12,باشگاه فوتبال نیوکاسل یونایتد,38,11,10,17,45,0,+45,43,
13,باشگاه فوتبال میدلزبرو,38,10,12,16,43,0,+43,42,
14,باشگاه فوتبال ویگان اتلتیک,38,10,10,18,34,0,+34,40,
15,باشگاه فوتبال ساندرلند,38,11,6,21,36,0,+36,39,
16,باشگاه فوتبال بولتون واندررز,38,9,10,19,36,0,+36,37,
17,باشگاه فوتبال فولام,38,8,12,18,38,0,+38,36,
18,باشگاه فوتبال ردینگ (R),38,10,6,22,41,66,−25,36,Relegation to 2008–09 Football League Championship
19,باشگاه فوتبال بیرمنگام سیتی (R),38,8,11,19,46,62,−16,35,Relegation to 2008–09 Football League Championship
20,باشگاه فوتبال دربی کانتی (R),38,1,8,29,20,89,−69,11,Relegation to 2008–09 Football League Championship
