Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month,Reference
Month,Manager,Club,Player,Club,Reference
August,Carlo Ancelotti,Chelsea,Paul Scholes,Manchester United,[36]
September,Roberto Di Matteo,West Bromwich Albion,Peter Odemwingie,West Bromwich Albion,[37]
October,David Moyes,Everton,Rafael van der Vaart,Tottenham Hotspur,[38]
November,Owen Coyle,Bolton Wanderers,Johan Elmander,Bolton Wanderers,[39]
December,Roberto Mancini,Manchester City,Samir Nasri,Arsenal,[40]
January,Sir Alex Ferguson,Manchester United,Dimitar Berbatov,Manchester United,[41]
February,Arsène Wenger,Arsenal,Scott Parker,West Ham United,[42]
March,Carlo Ancelotti,Chelsea,David Luiz,Chelsea,[43]
April,Carlo Ancelotti,Chelsea,Peter Odemwingie,West Bromwich Albion,[44][45]
