Team,Manager,Captain[citation needed],Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Cesc Fàbregas,Nike,Emirates
Aston Villa,Gérard Houllier,Stiliyan Petrov,Nike,FxPro
Birmingham City,Alex McLeish,Stephen Carr,Xtep,F&C Investments
Blackburn Rovers,Steve Kean,Christopher Samba,Umbro,Crown Paints
Blackpool,Ian Holloway,Charlie Adam,Carbrini,Wonga.com
Bolton Wanderers,Owen Coyle,Kevin Davies,Reebok,188BET
Chelsea,Carlo Ancelotti,John Terry,Adidas,Samsung
Everton,David Moyes,Phil Neville,Le Coq Sportif,Chang Beer
Fulham,Mark Hughes,Danny Murphy,Kappa,FxPro
Liverpool,Kenny Dalglish,Steven Gerrard,Adidas,Standard Chartered
Manchester City,Roberto Mancini,Carlos Tevez,Umbro,Etihad Airways
Manchester United,Sir Alex Ferguson,Gary Neville,Nike,Aon
Newcastle United,Alan Pardew,Kevin Nolan,Puma,Northern Rock
Stoke City,Tony Pulis,Ryan Shawcross,Adidas,Britannia
Sunderland,Steve Bruce,Lee Cattermole,Umbro,Tombola
Tottenham Hotspur,Harry Redknapp,Michael Dawson,Puma,Autonomy
West Bromwich Albion,Roy Hodgson,Chris Brunt,Umbro,Homeserve
West Ham United,Kevin Keen (caretaker),Matthew Upson,Macron,SBOBET
Wigan Athletic,Roberto Martínez,Gary Caldwell,MiFit,188BET
Wolverhampton Wanderers,Mick McCarthy,Karl Henry,BURRDA,Sportingbet
