Team,Location,Stadium,Capacity1
Arsenal,London (Holloway),Emirates Stadium,60361
Aston Villa,Birmingham (Aston),Villa Park,42789
Birmingham City,Birmingham (Bordesley),St Andrew's,30079
Blackburn Rovers,Blackburn,Ewood Park,31367
Blackpool,Blackpool,Bloomfield Road,16220
Bolton Wanderers,Bolton,Reebok Stadium,28723
Chelsea,London (Fulham),Stamford Bridge,42449
Everton,Liverpool (Walton),Goodison Park,40157
Fulham,London (Fulham),Craven Cottage,25700
Liverpool,Liverpool (Anfield),Anfield,45276
Manchester City,Manchester (Bradford),City of Manchester Stadium,47405
Manchester United,Manchester (Old Trafford),Old Trafford,75797
Newcastle United,Newcastle upon Tyne,St James' Park,52409
Stoke City,Stoke-on-Trent,Britannia Stadium,27740
Sunderland,Sunderland,Stadium of Light,49000
Tottenham Hotspur,London (Tottenham),White Hart Lane,36230
West Bromwich Albion,West Bromwich,The Hawthorns,26484
West Ham United,London (Upton Park),Boleyn Ground,35303
Wigan Athletic,Wigan,DW Stadium,25133
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,29195
