Team,Manager,Captain,Kit manufacturer[10],Shirt sponsor[10]
Arsenal,Arsène Wenger,Robin van Persie,Nike,Emirates
Aston Villa,Alex McLeish,Stiliyan Petrov4,Nike,Genting Casinos
Blackburn Rovers,Steve Kean,Paul Robinson5,Umbro,The Prince's Trust[12]
Bolton Wanderers,Owen Coyle,Kevin Davies,Reebok,188BET
Chelsea,Roberto Di Matteo,John Terry,Adidas,Samsung
Everton,David Moyes,Phil Neville,Le Coq Sportif,Chang Beer
Fulham,Martin Jol,Danny Murphy,Kappa,FxPro
Liverpool,Kenny Dalglish,Steven Gerrard,Adidas,Standard Chartered
Manchester City,Roberto Mancini,Vincent Kompany,Umbro,Etihad Airways
Manchester United,Sir Alex Ferguson,Nemanja Vidić6,Nike,Aon
Newcastle United,Alan Pardew,Fabricio Coloccini,Puma,Northern Rock/Virgin Money1
Norwich City,Paul Lambert,Grant Holt,Erreà,Aviva
Queens Park Rangers,Mark Hughes,Joey Barton,Lotto,No sponsor7/Malaysia Airlines and Air Asia2
Stoke City,Tony Pulis,Ryan Shawcross,Adidas,Britannia
Sunderland,Martin O'Neill,Lee Cattermole,Umbro,Tombola
Swansea City,Brendan Rodgers,Garry Monk,Adidas,32Red
Tottenham Hotspur,Harry Redknapp,Ledley King,Puma,Aurasma3
West Bromwich Albion,Roy Hodgson,Chris Brunt,Adidas,Bodog
Wigan Athletic,Roberto Martínez,Gary Caldwell,MiFit,12BET
Wolverhampton Wanderers,Terry Connor,Roger Johnson,BURRDA,Sportingbet
