بازیکن,برای,برابر,نتیجه,تاریخ
ادین ژکو ۴,منچستر سیتی,تاتنهام هاتسپر,۵–۱[۲],۲۸ اوت ۲۰۱۱
وین رونی,منچستر یونایتد,آرسنال,۸–۲[۳],۲۸ اوت ۲۰۱۱
سرخیو آگوئرو,منچستر سیتی,ویگان اتلتیک,۳–۰[۴],۱۰ سپتامبر ۲۰۱۱
وین رونی,منچستر یونایتد,بولتون واندررز,۵–۰[۵],۱۰ سپتامبر ۲۰۱۱
دمبا با,نیوکاسل یونایتد,بلکبرن روورز,۳–۱[۶],۲۴ سپتامبر ۲۰۱۱
فرانک لمپارد,چلسی,بولتون واندررز,۵–۱[۷],۲ اکتبر ۲۰۱۱
اندرو جانسون,فولام,کویینز پارک رنجرز,۶–۰[۸],۲ اکتبر ۲۰۱۱
روبین فان پرسی,آرسنال,چلسی,۵–۳[۹],۲۹ اکتبر ۲۰۱۱
دمبا با,نیوکاسل یونایتد,استوک سیتی,۳–۱[۱۰],۳۱ اکتبر ۲۰۱۱
یاکوبو ایگبنی۴,بلکبرن روورز,سوانزی سیتی,۴–۲[۱۱],۳ دسامبر ۲۰۱۱
دیمیتار برباتوف,منچستر یونایتد,ویگان اتلتیک,۵–۰[۱۲],۲۶ دسامبر ۲۰۱۱
کلینت دمپسی,فولام,نیوکاسل یونایتد,۵–۲[۱۳],۲۱ ژانویه ۲۰۱۲
روبین فان پرسی,آرسنال,بلکبرن روورز,۷–۱[۱۴],۴ فوریه ۲۰۱۲
پیتر اودموینگی,وست برومویچ آلبیون,ولورهمپتون واندررز,۵–۱[۱۵],۱۲ فوریه ۲۰۱۲
پاول پوگربنیاک,فولام,ولورهمپتون واندررز,۵–۰[۱۶],۴ مارس ۲۰۱۲
استیون جرارد,لیورپول,اورتون,۳–۰[۱۷],۱۳ مارس ۲۰۱۲
کارلوس توس,منچستر سیتی,نوریچ سیتی,۶–۱[۱۸],۱۴ آوریل ۲۰۱۲
لوییس سوارز,لیورپول,نوریچ سیتی,۳–۰[۱۹],۲۸ آوریل ۲۰۱۲
فرناندو تورس,چلسی,کویینز پارک رنجرز,۶–۱[۲۰],۲۹ آوریل ۲۰۱۲
