Team,Location,Stadium[33],Capacity
Arsenal,London (Holloway),Emirates Stadium,60362
Aston Villa,Birmingham,Villa Park,42785
Chelsea,London (Fulham),Stamford Bridge,41798
Everton,Liverpool (Walton),Goodison Park,40157
Fulham,London (Fulham),Craven Cottage,25700
Liverpool,Liverpool (Anfield),Anfield,45276
Manchester City,Manchester (Bradford),City of Manchester Stadium,55097
Manchester United,Manchester (Old Trafford),Old Trafford,75765
Newcastle United,Newcastle upon Tyne,St James' Park,52405
Norwich City,Norwich,Carrow Road,27224
Queens Park Rangers,London (Shepherd's Bush),Loftus Road,18439
Reading,Reading,Madejski Stadium,24197
Southampton,Southampton,St Mary's Stadium,32689
Stoke City,Stoke-on-Trent,Britannia Stadium,27740
Sunderland,Sunderland,Stadium of Light,48707
Swansea City,Swansea,Liberty Stadium,20750
Tottenham Hotspur,London (Tottenham),White Hart Lane,36284
West Bromwich Albion,West Bromwich,The Hawthorns,26445
West Ham United,London (Upton Park),Boleyn Ground,35016
Wigan Athletic,Wigan,DW Stadium,25133
