Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Thomas Vermaelen,Nike[13],Emirates[14]
Aston Villa,Paul Lambert,Ron Vlaar,Macron[15],dafabet[16]
Cardiff City,Ole Gunnar Solskjær,Mark Hudson,Puma[17],Malaysia[18]
Chelsea,José Mourinho,John Terry,Adidas[19],Samsung[20]
Crystal Palace,Tony Pulis,Paddy McCarthy,Avec[21],GAC Logistics[22]
Everton,Roberto Martínez,Phil Jagielka,Nike[23],Chang[24]
Fulham,Felix Magath,Brede Hangeland,Adidas[25],Marathonbet[26]
Hull City,Steve Bruce,Robert Koren,Adidas[27],Cash Converters[27]
Liverpool,Brendan Rodgers,Steven Gerrard,Warrior[28],Standard Chartered[29]
Manchester City,Manuel Pellegrini,Vincent Kompany,Nike[30],Etihad Airways[31]
Manchester United,Ryan Giggs (interim player-manager),Nemanja Vidić,Nike[32],Aon[33]
Newcastle United,Alan Pardew,Fabricio Coloccini,Puma[34],Wonga[35]
Norwich City,Neil Adams,Russell Martin,Erreà[36],Aviva[37]
Southampton,Mauricio Pochettino,Adam Lallana,Adidas[38],aap3[39]
Stoke City,Mark Hughes,Ryan Shawcross,Adidas[40],Bet365[41]
Sunderland,Gus Poyet,John O'Shea,Adidas[42],BFS Group[43]
Swansea City,Garry Monk,Ashley Williams,Adidas[44],GWFX[45]
Tottenham Hotspur,Tim Sherwood,Michael Dawson,Under Armour[46],HP[47]
West Bromwich Albion,Pepe Mel,Chris Brunt,Adidas[48],Zoopla[49]
West Ham United,Sam Allardyce,Kevin Nolan,Adidas[50],Alpari[51]
