Team,Location,Stadium[12],Capacity[12]
Arsenal,London (Holloway),Emirates Stadium,60338
Aston Villa,Birmingham,Villa Park,42682
Cardiff City,Cardiff,Cardiff City Stadium,27815
Chelsea,London (Fulham),Stamford Bridge,41798
Crystal Palace,London (Selhurst),Selhurst Park,26255
Everton,Liverpool (Walton),Goodison Park,39571
Fulham,London (Fulham),Craven Cottage,25700
Hull City,Kingston upon Hull,KC Stadium,25400
Liverpool,Liverpool (Anfield),Anfield,45276
Manchester City,Manchester (Bradford),City of Manchester Stadium,47405
Manchester United,Manchester (Old Trafford),Old Trafford,75731
Newcastle United,Newcastle upon Tyne,St James' Park,52405
Norwich City,Norwich,Carrow Road,27244
Southampton,Southampton,St Mary's Stadium,32589
Stoke City,Stoke-on-Trent,Britannia Stadium,27740
Sunderland,Sunderland,Stadium of Light,48707
Swansea City,Swansea,Liberty Stadium,20750
Tottenham Hotspur,London (Tottenham),White Hart Lane,36284
West Bromwich Albion,West Bromwich,The Hawthorns,26445
West Ham United,London (Upton Park),Boleyn Ground,35016
