Player,For,Against,Result,Date
Diego Costa,Chelsea,Swansea City,4–2[83],13 September 2014
Sergio Agüero4,Manchester City,Tottenham Hotspur,4–1[84],18 October 2014
Charlie Austin,Queens Park Rangers,West Bromwich Albion,3–2[85],20 December 2014
Jonathan Walters,Stoke City,Queens Park Rangers,3–1[86],31 January 2015
Harry Kane,Tottenham Hotspur,Leicester City,4–3[87],21 March 2015
Christian Benteke,Aston Villa,Queens Park Rangers,3–3[88],7 April 2015
Yannick Bolasie,Crystal Palace,Sunderland,4–1[89],11 April 2015
Sergio Agüero,Manchester City,Queens Park Rangers,6–0[90],10 May 2015
Sadio Mané,Southampton,Aston Villa,6–1[91],16 May 2015
Theo Walcott,Arsenal,West Bromwich Albion,4–1[92],24 May 2015
