تیم,ورزشگاه,ظرفیت ورزشگاه۱
آرسنال,ورزشگاه امارات,۶۰٬۳۶۱
استون ویلا,ویلا پارک,۴۲٬۷۸۸
اورتون,گودیسون پارک,۴۰٬۱۵۷
برنلی,ورزشگاه تارف مور,۲۴٬۴۰۱
چلسی,استمفورد بریج,۴۲٬۴۴۹
هال سیتی,ورزشگاه کی سی,۲۵٬۴۰۰
لیورپول,آنفیلد,۴۵٬۲۷۶
منچستر سیتی,ورزشگاه شهر منچستر,۴۷٬۵۰۰
منچستر یونایتد,اولدترافورد,۷۵٬۹۵۷
نیوکاسل یونایتد,سنت جیمز پارک,۵۲٬۳۸۷
استوک سیتی,ورزشگاه بریتانیا,۲۸٬۳۸۳
ساندرلند,ورزشگاه آو لایت,۴۹٬۰۰۰
تاتنهام هاتسپر,وایت هارت لین,۳۶٬۲۳۰
وست برومویچ,هوتورنز,۲۸٬۰۰۰
وستهام یونایتد,بویلن گراند,۳۵٬۳۰۳
ویگان اتلتیک,ورزشگاه دی دابلیو,۲۵٬۱۳۳
ساوتهمپتون,ورزشگاه سنت مری,۳۲٬۵۸۹
بلکبرن راورز,ایوود پارک,۳۱٬۳۶۷
کریستال پالاس,سلهارست پارک,۱۶٬۲۲۰
سوانزی سیتی,ورزشگاه لیبرتی,۲۰٬۵۳۲
