رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,باشگاه فوتبال چلسی (C),۳۸,۲۶,۹,۳,۷۳,۳۲,۴۱+,۸۷,صعود به لیگ قهرمانان اروپا ۱۶–۲۰۱۵
۲,باشگاه فوتبال منچستر سیتی,۳۸,۲۴,۷,۷,۸۳,۳۸,۴۵+,۷۹,صعود به لیگ قهرمانان اروپا ۱۶–۲۰۱۵
۳,باشگاه فوتبال آرسنال,۳۸,۲۲,۹,۷,۷۱,۳۶,۳۵+,۷۵,صعود به لیگ قهرمانان اروپا ۱۶–۲۰۱۵
۴,باشگاه فوتبال منچستر یونایتد,۳۸,۲۰,۱۰,۸,۶۲,۳۷,۲۵+,۷۰,صعود به لیگ قهرمانان اروپا ۱۶–۲۰۱۵
۵,باشگاه فوتبال تاتنهام هاتسپر,۳۸,۱۹,۷,۱۲,۵۸,۵۳,۵+,۶۴,صعود به لیگ اروپا ۱۶–۲۰۱۵[a]
۶,باشگاه فوتبال لیورپول,۳۸,۱۸,۸,۱۲,۵۲,۴۸,۴+,۶۲,صعود به لیگ اروپا ۱۶–۲۰۱۵[a]
۷,باشگاه فوتبال ساوت‌همپتون,۳۸,۱۸,۶,۱۴,۵۴,۳۳,۲۱+,۶۰,صعود به لیگ اروپا ۱۶–۲۰۱۵[a]
۸,باشگاه فوتبال سوانزی سیتی,۳۸,۱۶,۸,۱۴,۴۶,۴۹,۳−,۵۶,
۹,باشگاه فوتبال استوک سیتی,۳۸,۱۵,۹,۱۴,۴۸,۴۵,۳+,۵۴,
۱۰,باشگاه فوتبال کریستال پالاس,۳۸,۱۳,۹,۱۶,۴۷,۵۱,۴−,۴۸,
۱۱,باشگاه فوتبال اورتون,۳۸,۱۲,۱۱,۱۵,۴۸,۵۰,۲−,۴۷,
۱۲,باشگاه فوتبال وستهام یونایتد,۳۸,۱۲,۱۱,۱۵,۴۴,۴۷,۳−,۴۷,صعود به لیگ اروپا ۱۶–۲۰۱۵[b]
۱۳,باشگاه فوتبال وست برومویچ آلبیون,۳۸,۱۱,۱۱,۱۶,۳۸,۵۱,۱۳−,۴۴,
۱۴,باشگاه فوتبال لستر سیتی,۳۸,۱۱,۸,۱۹,۴۶,۵۵,۹−,۴۱,
۱۵,باشگاه فوتبال نیوکاسل یونایتد,۳۸,۱۰,۹,۱۹,۴۰,۶۳,۲۳−,۳۹,
۱۶,باشگاه فوتبال ساندرلند,۳۸,۷,۱۷,۱۴,۳۱,۵۳,۲۲−,۳۸,
۱۷,باشگاه فوتبال استون ویلا,۳۸,۱۰,۸,۲۰,۳۱,۵۷,۲۶−,۳۸,
۱۸,باشگاه فوتبال هال سیتی (R),۳۸,۸,۱۱,۱۹,۳۳,۵۱,۱۸−,۳۵,سقوط به Football League Championship
۱۹,باشگاه فوتبال برنلی (R),۳۸,۷,۱۲,۱۹,۲۸,۵۳,۲۵−,۳۳,سقوط به Football League Championship
۲۰,باشگاه فوتبال کویینز پارک رنجرز (R),۳۸,۸,۶,۲۴,۴۲,۷۳,۳۱−,۳۰,سقوط به Football League Championship
