Player,For,Against,Result,Date,Ref
Callum Wilson,Bournemouth,West Ham United,4–3 (A),22 August 2015,[127]
Steven Naismith,Everton,Chelsea,3–1 (H),12 September 2015,[128]
Alexis Sánchez,Arsenal,Leicester City,5–2 (A),26 September 2015,[129]
Sergio Agüero5,Manchester City,Newcastle United,6–1 (H),3 October 2015,[130]
Raheem Sterling,Manchester City,Bournemouth,5–1 (H),17 October 2015,[131]
Georginio Wijnaldum4,Newcastle United,Norwich City,6–2 (H),18 October 2015,[132]
Harry Kane,Tottenham Hotspur,Bournemouth,5–1 (A),25 October 2015,[133]
Arouna Koné,Everton,Sunderland,6–2 (H),1 November 2015,[134]
Riyad Mahrez,Leicester City,Swansea City,3–0 (A),5 December 2015,[135]
Jermain Defoe,Sunderland,Swansea City,4–2 (A),13 January 2016,[136]
Andy Carroll,West Ham United,Arsenal,3–3 (H),9 April 2016,[137]
Sergio Agüero,Manchester City,Chelsea,3–0 (A),16 April 2016,[138]
Sadio Mané,Southampton,Manchester City,4–2 (H),1 May 2016,[139]
Olivier Giroud,Arsenal,Aston Villa,4–0 (H),15 May 2016,[140]
