رده,تیم,بازیها,برد,مساوی,باخت,گل زده,گل خورده,تفاضل گل,امتیاز,توضیحات
۱,لسترسیتی (ق),۳۸,۲۳,۱۲,۳,۶۸,۳۶,۳۲+,۸۱,مرحله گروهی لیگ قهرمانان اروپا ۱۷–۲۰۱۶
۲,آرسنال,۳۸,۲۰,۱۱,۷,۶۵,۳۶,۲۹+,۷۱,مرحله گروهی لیگ قهرمانان اروپا ۱۷–۲۰۱۶
۳,تاتنهام هاتسپر,۳۸,۱۹,۱۳,۶,۶۹,۳۵,۳۴+,۷۰,مرحله گروهی لیگ قهرمانان اروپا ۱۷–۲۰۱۶
۴,منچستر سیتی,۳۸,۱۹,۹,۱۰,۷۱,۴۱,۳۰+,۶۶,مرحله پلی‌آف لیگ قهرمانان اروپا ۱۷–۲۰۱۶
۵,منچستر یونایتد,۳۸,۱۹,۹,۱۰,۴۹,۳۵,۱۴+,۶۶,مرحله گروهی لیگ اروپا ۱۷–۲۰۱۶
۶,ساوت‌همپتون,۳۸,۱۸,۹,۱۱,۵۹,۴۱,۱۸+,۶۳,مرحله گروهی لیگ اروپا ۱۷–۲۰۱۶
۷,وستهام یونایتد,۳۸,۱۶,۱۴,۸,۶۵,۵۱,۱۴+,۶۲,مرحله پلی‌آفلیگ اروپا ۱۷–۲۰۱۶
۸,لیورپول,۳۸,۱۶,۱۲,۱۰,۶۳,۵۰,۱۳+,۶۰,
۹,استوک سیتی,۳۸,۱۴,۹,۱۵,۴۱,۵۵,۱۴-,۵۱,
۱۰,چلسی,۳۸,۱۲,۱۴,۱۲,۵۹,۵۳,۶+,۵۰,
۱۱,اورتون,۳۸,۱۱,۱۴,۱۳,۵۹,۵۵,۴+,۴۷,
۱۲,سوانزی سیتی,۳۸,۱۲,۱۱,۱۵,۴۲,۵۲,۱۰-,۴۷,
۱۳,واتفورد,۳۸,۱۲,۹,۱۷,۴۰,۵۰,۱۰-,۴۵,
۱۴,وست برومویچ آلبیون,۳۸,۱۰,۱۳,۱۵,۳۴,۴۸,۱۴-,۴۳,
۱۵,کریستال پالاس,۳۸,۱۱,۹,۱۸,۳۹,۵۱,۱۲-,۴۲,
۱۶,ای‌اف‌سی بورنموث,۳۸,۱۱,۹,۱۸,۴۵,۶۷,۲۲-,۴۲,
۱۷,ساندرلند,۳۸,۹,۱۲,۱۷,۴۸,۶۲,۱۴-,۳۹,
۱۸,نیوکاسل یونایتد (س),۳۸,۹,۱۰,۱۹,۴۴,۶۵,۲۱–,۳۷,سقوط به لیگ چمپیونشیپ
۱۹,نوریچ سیتی (س),۳۸,۹,۷,۲۲,۳۹,۶۷,۲۸-,۳۴,سقوط به لیگ چمپیونشیپ
۲۰,استون ویلا (س),۳۸,۳,۸,۲۷,۲۷,۷۶,۴۹-,۱۷,سقوط به لیگ چمپیونشیپ
