تیم,سرمربی برکنار شده,نحوه برکناری,روز برکناری,رده در جدول رده‌بندی لیگ برتر,سرمربی جایگزین,روز انتصاب
وستهام یونایتد,سم الردایس,اتمام قرارداد,۲۴ مه ۲۰۱۵[۴۰],پیش از آغاز فصل,اسلاون بیلیچ,۹ ژوئن ۲۰۱۵[۴۱]
واتفورد,اسلاویشا یوکانویچ,اتمام قرارداد,۵ ژوئن ۲۰۱۵[۴۲],پیش از آغاز فصل,کیکه فلورس,۵ ژوئن ۲۰۱۵[۴۲]
نیوکاسل یونایتد,جان کارور,اخراج,۹ ژوئن ۲۰۱۵[۴۳],پیش از آغاز فصل,استیو مک‌کلارن,۱۰ ژوئن ۲۰۱۵[۴۴]
لستر سیتی,نایجل پیرسون,اخراج,۳۰ ژوئن ۲۰۱۵[۴۵],پیش از آغاز فصل,کلودیو رانیری,۱۳ ژوئیه ۲۰۱۵[۴۶]
ساندرلند,دیک آدفوکات,استعفا,۴ اکتبر ۲۰۱۵[۴۷],نوزدهم,سم الردایس,۹ اکتبر ۲۰۱۵[۴۸]
لیورپول,برندان راجرز,اخراج,۴ اکتبر ۲۰۱۵[۴۹],دهم,یورگن کلوپ,۸ اکتبر ۲۰۱۵[۵۰]
استون ویلا,تیم شروود,اخراج,۲۵ اکتبر ۲۰۱۵,نوزدهم,رمی گارد,۲ نوامبر ۲۰۱۵
سوانزی سیتی,گری مانک,اخراج,۹ دسامبر ۲۰۱۵,پانزدهم,آلن کورتیس,۱۸ ژانویه ۲۰۱۶
چلسی,ژوزه مورینیو,توافق بین الطرفین[۵۱],۱۷ دسامبر ۲۰۱۵,شانزدهم,گاس هیدینگ,۱۹ دسامبر ۲۰۱۵[۵۲]
سوانزی,آلن کورتیس,پایان دوره سرمربی موقت,۱۸ ژانویه ۲۰۱۶,هجدهم,فرانچسکو گویدولین,۱۸ ژانویه ۲۰۱۶
نیوکاسل,استیو مک‌کلارن,اخراج,۱۱ مارس ۲۰۱۶,نوزدهم,رافائل بنیتز,۱۱ مارس ۲۰۱۶
استون ویلا,رمی گارد,توافق بین الطرفین,۲۹ مارس ۲۰۱۶[۵۳],بیستم,اریک بلک,۲۹ مارس ۲۰۱۶[۵۳]
اورتون,روبرتو مارتینز,اخراج,۱۲ مه ۲۰۱۶[۵۴],دوازدهم,رونالد کومان,۱۴ ژوئن ۲۰۱۶[۵۵]
