تیم,سرمربی1,کشور,تولیدکننده البسه,حامی مالی (روی لباس)
آرسنال,آرسن ونگر,,پوما[۱],هواپیمایی امارات[۲]
استون ویلا,رمی گارد,,ماکرون[۳],Quick Books[۴]
بورنموث,ادی هوو,,جی دی اسپورتس[۵],Mansion Group[۶]
چلسی,گاس هیدینگ (موقت),,آدیداس[۷],یوکوهاما[۸]
کریستال پالاس,آلن پاردو,,ماکرون[۹],Mansion Group[۱۰]
اورتون,روبرتو مارتینز,,آمبرو[۱۱],چانگ[۱۲]
لستر سیتی,کلودیو رانیری,,پوما[۱۳],کینگ پاور[۱۴]
لیورپول,یورگن کلوپ,,نیو بالانس[۱۵],استاندارد چارترد[۱۶]
منچستر سیتی,مانوئل پیگرینی,,نایک[۱۷],هواپیمایی اتحاد[۱۸]
منچستر یونایتد,لوئی فان خال,,آدیداس[۱۹],شورولت[۲۰]
نیوکاسل,رافائل بنیتز,,پوما[۲۱],Wonga.com[۲۲]
نوریچ سیتی,الکس نیل,,اره‌آ[۲۳],آویوا[۲۳]
ساوت‌همپتون,رونالد کومان,,آدیداس[۲۴],Veho[۲۵]
استوک سیتی,مارک هیوز,,نیو بالانس[۲۶],Bet365[۲۷]
ساندرلند,سم آلاردایس,,آدیداس[۲۸],Dafabet[۲۹]
سوانزی سیتی,فرانچسکو گویدولین,,آدیداس[۳۰],GWFX[۳۱]
تاتنهام هاتسپر,مائوریسیو پوچتینو,,آندر آرمور[۳۲],AIA[۳۳]
واتفورد,کیکه فلورس,,پوما[۳۴],138.com[۳۵]
وست بروم آلبیون,تونی پولیس,,آدیداس[۳۶],تیک بت[۳۷]
وستهام یونایتد,اسلاون بیلیچ,,آمبرو[۳۸],بت‌وی[۳۹]
