تیم,موقعیت,ورزشگاه,گنجایش
آرسنال,لندن,امارات,۶۰٬۲۶۰
استون ویلا,بیرمنگام,ویلا پارک,۴۲٬۶۶۰
بورنموث,بورنموث,دین کورت,۱۱٬۴۶۴
چلسی,لندن (فولام),استمفورد بریج,۴۱٬۷۹۸
کریستال پالاس,لندن (نوروود جنوبی),سلهارست پارک,۲۵٬۰۷۳
اورتون,لیورپول,گودیسون پارک,۳۹٬۵۷۱
لستر سیتی,لستر,کینگ پاور,۳۲٬۳۱۲
لیورپول,لیورپول,آنفیلد,۴۵٬۲۷۶
منچستر سیتی,منچستر,ورزشگاه اتحاد,۵۵٬۰۹۷
منچستر یونایتد,منچستر,اولدترافورد,۷۵٬۶۵۳
نیوکاسل,نیوکاسل اپان تاین,سنت جیمز پارک,۵۲٬۳۳۸
نوریچ سیتی,نوریچ,کارو رود,۲۷٬۰۱۰
ساوت‌همپتون,ساوت‌همپتون,سنت مری,۳۲٬۵۰۵
استوک سیتی,استوک-آن-ترنت,ورزشگاه بریتانیا,۲۷٬۷۴۰
ساندرلند,ساندرلند,ورزشگاه آو لایت,۴۸٬۷۰۷
سوانزی سیتی,سوانزی,لیبرتی,۲۰٬۹۰۹
تاتنهام هاتسپر,لندن (تاتنهام),وایت هارت لن,۳۶٬۲۸۴
واتفورد,واتفورد,ویکاریج رود,۲۱٬۵۰۰
وست بروم آلبیون,وست برومویچ,هاوتورنز,۲۶٬۸۵۰
وستهام یونایتد,لندن (اپتون پارک),بولین گراوند,۳۵٬۳۴۵
