بازیکن,باشگاه,در برابر,نتیجه,تاریخ,منبع
کالوم ویلسون,ای‌اف‌سی بورنموث,وستهام یونایتد,۴–۳,۲۲ اوت ۲۰۱۵,[۵۶]
استیون نیسمیث,اورتون,چلسی,۳–۱,۱۲ سپتامبر ۲۰۱۵,[۵۷]
الکسیس سانچز,آرسنال,لستر سیتی,۵–۲,۲۶ سپتامبر ۲۰۱۵,[۵۸]
سرخیو آگوئرو۵,منچستر سیتی,نیوکاسل یونایتد,۶–۱,۳ اکتبر ۲۰۱۵,[۵۹]
رحیم استرلینگ,منچستر سیتی,ای‌اف‌سی بورنموث,۵–۱,۱۷ اکتبر ۲۰۱۵,[۶۰]
جورجینیو واینالدوم۴,نیوکاسل یونایتد,نوریچ سیتی,۶–۲,۱۸ اکتبر ۲۰۱۵,[۶۱]
هری کین,تاتنهام هاتسپر,ای‌اف‌سی بورنموث,۵–۱,۲۵ اکتبر ۲۰۱۵,[۶۲]
آرونا کونه,اورتون,ساندرلند,۶–۲,۱ نوامبر ۲۰۱۵,[۶۳]
ریاض محرز,لستر سیتی,سوانزی سیتی,۳–۰,۵ دسامبر ۲۰۱۵,[۶۴]
جرمین دفو,ساندرلند,سوانزی سیتی,۴–۲,۱۳ ژانویه ۲۰۱۶,[۶۵]
اندی کارول,وستهام یونایتد,آرسنال,۳–۳,۹ آوریل ۲۰۱۶,[۶۶]
سرخیو آگوئرو,منچستر سیتی,چلسی,۳–۰,۱۶ آوریل ۲۰۱۶,[۶۷]
سادیو مانه,ساوت‌همپتون,منچستر سیتی,۴–۲,۱ مه ۲۰۱۶,[۶۸]
الیویه ژیرو,آرسنال,استون ویلا,۴–۰,۱۵ مه ۲۰۱۶,[۶۹]
