Team,Location and County,Stadium,Capacity[11]
Arsenal,London (Holloway),Emirates Stadium,60432
Bournemouth,Bournemouth,Dean Court,11464
Burnley,Burnley,Turf Moor,22546
Chelsea,London (Fulham),Stamford Bridge,41623
Crystal Palace,London (Selhurst),Selhurst Park,26309
Everton,Liverpool (Walton),Goodison Park,39572
Hull City,Kingston upon Hull,KCOM Stadium,25404
Leicester City,Leicester,King Power Stadium,32500
Liverpool,Liverpool (Anfield),Anfield,54074
Manchester City,Manchester (Bradford),City of Manchester Stadium,55097
Manchester United,Manchester (Old Trafford),Old Trafford,76100
Middlesbrough,Middlesbrough,Riverside Stadium,35100
Southampton,Southampton,St Mary's Stadium,32689
Stoke City,Stoke-on-Trent,Bet365 Stadium[a],28383
Sunderland,Sunderland,Stadium of Light,49000
Swansea City,Swansea,Liberty Stadium,20972
Tottenham Hotspur,London (Tottenham),White Hart Lane,"32,000[b]"
Watford,Watford,Vicarage Road,21977
West Bromwich Albion,West Bromwich,The Hawthorns,26500
West Ham United,London (Stratford),London Stadium[c],"57,000[15][d]"
