تیم,سرمربی۱,تولیدکننده لباس,حامی مالی (روی لباس)
ای‌اف‌سی بورنموث,ادی هوو,جی‌دی اسپورتس[۵],Mansion Group[۶]
آرسنال,آرسن ونگر,پوما[۷],هواپیمایی امارات[۸]
برنلی,شان دایچ,پوما[۹],Dafabet[۱۰]
چلسی,آنتونیو کونته,آدیداس[۱۱],یوکوهاما[۱۲]
کریستال پالاس,سم الردایس,ماکرون[۱۳],Mansion Group[۱۴]
اورتون,رونالد کومان,آمبرو[۱۵],چانگ[۱۶]
هال سیتی,مارکو سیلوا,آمبرو[۱۷],SportPesa[۱۸]
لسترسیتی,کریگ شکسپیر,پوما[۱۹],King Power[۲۰]
لیورپول,یورگن کلوپ,نیو بالانس[۲۱],استاندارد چارترد[۲۲]
منچسترسیتی,پپ گواردیولا,نایکی[۲۳],هواپیمایی اتحاد[۲۴]
منچستر یونایتد,ژوزه مورینیو,آدیداس[۲۵],شورولت[۲۶]
میدلزبورو,استیو اگنو,آدیداس[۲۷],رامدنس[۲۸]
ساوت‌همپتون,کلود پوئل,آندر آرمور[۲۹],ویرجین مدیا[۳۰]
استوک سیتی,مارک هیوز,ماکرون[۳۱],بت۳۶۵[۳۲]
ساندرلند,دیوید مویس,آدیداس[۳۳],Dafabet[۳۴]
سوانزی,پل کلمنت,جوما[۳۵],بت‌ایست[۳۶]
تاتنهام هاتسپر,موریسیو پاچتینو,آندرآرمور[۳۷],ای‌آی‌ای[۳۸]
واتفورد,والتر ماتزاری,Dryworld[۳۹],138.com[۴۰]
وست بروم,تونی پولیس,آدیداس[۴۱],UK-K8.com[۴۲]
وستهم یونایتد,اسلاون بیلیچ,آمبرو[۴۳],بت‌وی[۴۴]
