Pos,Team,Total,High,Low,Average,Change
1.0,Manchester United,1424538,75118,74726,74976,−0.4%†
2.0,Tottenham Hotspur,1291103,83222,50034,67953,+114.8%†
3.0,Arsenal,1127133,59547,58420,59323,−1.1%†
4.0,West Ham United,1080808,56988,56197,56885,−0.2%†
5.0,Manchester City,1022434,54452,53241,53812,−0.4%†
6.0,Liverpool,1007931,53287,50752,53049,+0.1%†
7.0,Newcastle United,987844,52311,50174,51992,+1.7%1
8.0,Chelsea,784353,41616,38910,41282,−0.5%†
9.0,Everton,737143,39221,37580,38797,−1.3%†
10.0,Leicester City,600083,32202,30203,31583,−1.0%†
11.0,Southampton,585084,31930,27714,30794,−0.5%†
12.0,Brighton & Hove Albion,577701,30634,29676,30405,+8.6%1
13.0,Stoke City,556317,30022,27458,29280,+6.7%†
14.0,Crystal Palace,476189,25840,23477,25063,−0.4%†
15.0,West Bromwich Albion,465878,26223,22704,24520,+2.7%†
16.0,Huddersfield Town,456757,24426,23548,24040,+18.2%1
17.0,Burnley,393080,21841,18862,20688,+0.6%†
18.0,Swansea City,391830,20933,19580,20623,0.0%†
19.0,Watford,384388,20552,20002,20231,−1.7%†
20.0,Bournemouth,202154,10952,10242,10640,−4.8%†
,League total,14552748,83222,10242,38297,+6.9%†
