Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month,Goal of the Month,Goal of the Month,References
Month,Manager,Club,Player,Club,Player,Club,References
August,David Wagner,Huddersfield Town,Sadio Mané,Liverpool,Charlie Daniels,Bournemouth,[136][137][138]
September,Pep Guardiola,Manchester City,Harry Kane,Tottenham Hotspur,Antonio Valencia,Manchester United,[139][140][141]
October,Pep Guardiola,Manchester City,Leroy Sané,Manchester City,Sofiane Boufal,Southampton,[142][143][144]
November,Pep Guardiola,Manchester City,Mohamed Salah,Liverpool,Wayne Rooney,Everton,[145][146][147]
December,Pep Guardiola,Manchester City,Harry Kane,Tottenham Hotspur,Jermain Defoe,Bournemouth,[148][149][150]
January,Eddie Howe,Bournemouth,Sergio Agüero,Manchester City,Willian,Chelsea,[151][152][153]
February,Chris Hughton,Brighton & Hove Albion,Mohamed Salah,Liverpool,Victor Wanyama,Tottenham Hotspur,[154][155][156]
March,Sean Dyche,Burnley,Mohamed Salah,Liverpool,Jamie Vardy,Leicester City,[157][158][159]
April,Darren Moore,West Bromwich Albion,Wilfried Zaha,Crystal Palace,Christian Eriksen,Tottenham Hotspur,[160][161][162]
