رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,منچستر سیتی (C),۳۸,۳۲,۴,۲,۱۰۶,۲۷,۷۹+,۱۰۰,راه‌یابی به مرحله گروهی لیگ قهرمانان اروپا
۲,منچستر یونایتد,۳۸,۲۵,۶,۷,۶۸,۲۸,۴۰+,۸۱,راه‌یابی به مرحله گروهی لیگ قهرمانان اروپا
۳,تاتنهام هاتسپر,۳۸,۲۳,۸,۷,۷۴,۳۶,۳۸+,۷۷,راه‌یابی به مرحله گروهی لیگ قهرمانان اروپا
۴,لیورپول,۳۸,۲۱,۱۲,۵,۸۴,۳۸,۴۶+,۷۵,راه‌یابی به مرحله گروهی لیگ قهرمانان اروپا
۵,چلسی,۳۸,۲۱,۷,۱۰,۶۲,۳۸,۲۴+,۷۰,راه‌یابی به مرحله گروهی لیگ اروپا
۶,آرسنال,۳۸,۱۹,۶,۱۳,۷۴,۵۱,۲۳+,۶۳,راه‌یابی به مرحله گروهی لیگ اروپا
۷,برنلی,۳۸,۱۴,۱۲,۱۲,۳۶,۳۹,۳−,۵۴,راه‌یابی به دور دوم مرحله مقدماتی لیگ اروپا
۸,اورتون,۳۸,۱۳,۱۰,۱۵,۴۴,۵۸,۱۴−,۴۹,
۹,لستر سیتی,۳۸,۱۲,۱۱,۱۵,۵۶,۶۰,۴−,۴۷,
۱۰,نیوکاسل یونایتد,۳۸,۱۲,۸,۱۸,۳۹,۴۷,۸−,۴۴,
۱۱,کریستال پالاس,۳۸,۱۱,۱۱,۱۶,۴۵,۵۵,۱۰−,۴۴,
۱۲,بورنموث,۳۸,۱۱,۱۱,۱۶,۴۵,۶۱,۱۶−,۴۴,
۱۳,وستهام یونایتد,۳۸,۱۰,۱۲,۱۶,۴۸,۶۸,۲۰−,۴۲,
۱۴,واتفورد,۳۸,۱۱,۸,۱۹,۴۴,۶۴,۲۰−,۴۱,
۱۵,برایتون اند هوو آلبیون,۳۸,۹,۱۳,۱۶,۳۴,۵۴,۲۰−,۴۰,
۱۶,هادرزفیلد تاون,۳۸,۹,۱۰,۱۹,۲۸,۵۸,۳۰−,۳۷,
۱۷,ساوت‌همپتون,۳۸,۷,۱۵,۱۶,۳۷,۵۶,۱۹−,۳۶,
۱۸,سوانزی سیتی (R),۳۸,۸,۹,۲۱,۲۸,۵۶,۲۸−,۳۳,سقوط به چمپیونشیپ
۱۹,استوک سیتی (R),۳۸,۷,۱۲,۱۹,۳۵,۶۸,۳۳−,۳۳,سقوط به چمپیونشیپ
۲۰,وست برومویچ آلبیون (R),۳۸,۶,۱۳,۱۹,۳۱,۵۶,۲۵−,۳۱,سقوط به چمپیونشیپ
