تیم,سرمربی برکنارشده,علت برکناری,تاریخ برکناری,رتبه در جدول رده‌بندی لیگ,سرمربی جایگزین,تاریخ آغاز
واتفورد,والتر ماتزاری,توافق طرفین,۲۱ مه ۲۰۱۷[۷۵],پیش فصل,مارکو سیلوا,۲۷ مه ۲۰۱۷[۷۶]
کریستال پالاس,سم الردایس,استعفاء,۲۳ مه ۲۰۱۷[۷۷],پیش فصل,فرانک دی بوئر,۲۶ ژوئن۲۰۱۷[۷۸]
ساوت‌همپتون,کلود پوئل,اخراج,۱۴ ژوئن ۲۰۱۷[۷۹],پیش فصل,ماوریسیو پیگرینو,۲۳ ژوئن۲۰۱۷[۸۰]
کریستال پالاس,فرانک دی بوئر,اخراج,۱۱ سپتامبر ۲۰۱۷[۸۱],نوزدهم,روی هاجسون,۱۲ سپتامبر۲۰۱۷[۸۲]
لسترسیتی,کریگ شکسپیر,اخراج,۱۷ اکتبر ۲۰۱۷[۸۳],هجدهم,کلود پوئل,۲۵ اکتبر ۲۰۱۷[۸۴]
اورتون,رونالد کومان,اخراج,۲۳ اکتبر ۲۰۱۷[۸۵],هجدهم,سم الردایس,۲۹ نوامبر ۲۰۱۷[۸۶]
وستهام یونایتد,اسلاون بیلیچ,اخراج,۶ نوامبر ۲۰۱۷,هجدهم,دیوید مویس,۷ نوامبر ۲۰۱۷
وست برومویچ آلبیون,تونی پولیس,اخراج,۲۰ نوامبر ۲۰۱۷,هفدهم,آلن پاردیو,۲۹ نوامبر ۲۰۱۷[۸۷]
سوانزی سیتی,پل کلمنت,اخراج,۲۰ دسامبر ۲۰۱۷,بیستم,کارلوس کاروالال,۲۸ دسامبر ۲۰۱۷[۸۸]
استوک سیتی,مارک هیوز,اخراج,۶ ژانویه ۲۰۱۸[۸۹],هجدهم,پل لامبرت,۱۵ ژانویه ۲۰۱۸[۹۰]
واتفورد,مارکو سیلوا,اخراج,۲۱ ژانویه ۲۰۱۸,دهم,خاوی گراسیا,۲۱ ژانویه ۲۰۱۸[۹۱]
ساوت‌همپتون,ماوریسیو پیگرینو,اخراج,۱۲ مارس ۲۰۱۸[۹۲],هفدهم,مارک هیوز,۱۴ مارس ۲۰۱۸[۹۳]
وست برومویچ آلبیون,آلن پاردیو,توافق طرفین,۲ آوریل ۲۰۱۸[۹۴],بیستم,دارن مور (سرپرست),۲ آوریل ۲۰۱۸[۹۴]
