تیم,سرمربی,کاپیتان,تولیدکننده لباس,حامی مالی (سینه),حامی مالی (آستین چپ)
آرسنال,آرسن ونگر,پر مرته‌ساکر[۸],پوما[۹],امارات[۱۰],
بورنموث,ادی هوو,سایمن فرانسیس[۱۱],آمبرو[۱۲],M88[۱۳],M88[۱۴]
برایتون اند هوو آلبیون,کریس هیوتن,برونو,نایکی[۱۵],آمریکن اکسپرس[۱۵],JD[۱۶]
برنلی,شان دایچ,تام هیتون[۱۷],پوما[۱۸],دافابت[۱۹],Golf Clash[۲۰]
چلسی,آنتونیو کونته,گری کیهیل[۲۱],نایکی[۲۲],یوکوهاما[۲۳],Alliance Tyres[۲۴]
کریستال پالاس,روی هاجسون,جیسون پانچین[۲۵],ماکرون[۲۶],ManBetX[۲۷],Dongqiudi[۲۸]
اورتون,سم الردایس,فیل جگیلکا,آمبرو[۲۹],اسپورت پزا[۳۰],پرندگان خشمگین[۳۱]
هادرزفیلد تاون,دیوید واگنر,تامی اسمیت,پوما[۳۲],OPE Sports[۳۳],PURE Legal[۳۴]
لستر سیتی,کلود پوئل,وس مورگان[۳۵],پوما[۳۶],کینگ پاور[۳۷],Siam Commercial Bank[۳۸]
لیورپول,یورگن کلوپ,جوردن هندرسون[۳۹],نیو بالانس[۴۰],استاندارد چارترد[۴۱],وسترن یونیون[۴۲]
منچستر سیتی,پپ گواردیولا,وینسنت کمپانی[۴۳],نایکی[۴۴],هواپیمایی اتحاد[۴۵],Nexen Tire[۴۶]
منچستر یونایتد,ژوزه مورینیو,مایکل کریک[۴۷],آدیداس[۴۸],شورولت[۴۹],
نیوکاسل یونایتد,رافائل بنیتز,جمال لسلز,پوما[۵۰],Fun88[۵۱],MRF Tyres[۵۲]
ساوت‌همپتون,مارک هیوز,استیون دیویس,آندر آرمور[۵۳],Virgin Media[۵۴],ویرجین مدیا
استوک سیتی,پل لامبرت,رایان شاوکراس[۵۵],ماکرون[۵۶],بت۳۶۵[۵۷],Top Eleven[۵۸]
سوانزی سیتی,کارلوس کاروالال,انخل رنخل[۵۹],جوما[۶۰],Letou[۶۱],Barracuda Networks[۶۲]
تاتنهام هاتسپر,مائوریسیو پوچتینو,هوگو لیوریس[۶۳],نایکی[۶۴],ای‌آی‌ای[۶۵],
واتفورد,خاوی گراسیا,تروی دینی[۶۶],آدیداس[۶۷],FxPro,138.com
وست برومویچ آلبیون,دارن مور (سرپرست),جانی اوانز,آدیداس[۶۸],پالم[۶۹],12BET[۷۰]
وستهام یونایتد,دیوید مویس,مارک نوبل[۷۱],آمبرو[۷۲],Betway[۷۳],MRF Tyres[۷۴]
