بازیکن,برای,برابر,نتیجه,تاریخ,منبع
سرخیو آگوئرو,منچستر سیتی,واتفورد,۶–۰ (A),۱۶ سپتامبر ۲۰۱۷,[۹۶]
آلوارو موراتا,چلسی,استوک سیتی,۴–۰ (A),۲۳ سپتامبر ۲۰۱۷,[۹۷]
کالوم ویلسون,بورنموث,هادرزفیلد تاون,۴–۰ (H),۱۸ نوامبر ۲۰۱۷,[۹۸]
وین رونی,اورتون,وستهام یونایتد,۴–۰ (H),۲۹ نوامبر ۲۰۱۷,[۹۹]
هری کین,تاتنهام هاتسپر,برنلی,۳–۰ (A),۲۳ دسامبر ۲۰۱۷,[۱۰۰]
هری کین,تاتنهام هاتسپر,ساوت‌همپتون,۵–۲ (H),۲۶ دسامبر ۲۰۱۷,[۱۰۱]
سرخیو آگوئرو,منچستر سیتی,نیوکاسل یونایتد,۳–۱ (H),۲۰ ژانویه ۲۰۱۸,[۱۰۲]
آرون رمزی,آرسنال,اورتون,۵–۱ (H),۳ فوریه ۲۰۱۸,[۱۰۳]
سرخیو آگوئرو۴,منچستر سیتی,لستر سیتی,۵–۱ (H),۱۰ فوریه ۲۰۱۸,[۱۰۴]
محمد صلاح۴,لیورپول,واتفورد,۵–۰ (H),۱۷ مارس ۲۰۱۸,[۱۰۵]
