ماه,مربی ماه,مربی ماه,بازیکن ماه,بازیکن ماه,گل ماه,گل ماه,منابع
ماه,مربی,باشگاه,بازیکن,باشگاه,بازیکن,باشگاه,منابع
اوت,خاوی گراسیا,واتفورد,لوکاس مورا,تاتنهام,ژان میکائل سری,فولام,[۹۲][۹۳][۹۴]
سپتامبر,نونو اسپیریتو سانتو,ولورهمپتون واندررز,ادن آزار,چلسی,دنیل استوریج,لیورپول,[۹۵][۹۶][۹۷]
اکتبر,ادی هوو,بورنموث,پیر امریک اوبامیانگ,آرسنال,آرون رمزی,آرسنال,[۹۸][۹۹][۱۰۰]
نوامبر,رافائل بنیتز,نیوکاسل,رحیم استرلینگ,منچسترسیتی,سون هیونگ-مین,تاتنهام,[۱۰۱][۱۰۲][۱۰۳]
دسامبر,یورگن کلوپ,لیورپول,ویرجیل فن دایک,لیورپول,اندروس تاونزند,کریستال پالاس,[۱۰۴][۱۰۵]
ژانویه,اوله گونر سولشیر,منچستر یونایتد,مارکوس رشفورد,منچستر یونایتد,آندره شورله,فولام,[۱۰۶][۱۰۷][۱۰۸]
فوریه,پپ گواردیولا,منچسترسیتی,سرخیو آگوئرو,منچسترسیتی,فابیان شار,نیوکاسل,[۱۰۹][۱۱۰][۱۱۱]
مارس,یورگن کلوپ,لیورپول,سادیو مانه,لیورپول,آنتونی ناکارت,برایتون,[۱۱۲][۱۱۳][۱۱۴]
آوریل,پپ گواردیولا,منچستر سیتی,جیمی واردی,لسترسیتی,ادن هازارد,چلسی,[۱۱۵][۱۱۶][۱۱۷]
