تیم,موقعیت,ورزشگاه,گنجایش[۲]
باشگاه فوتبال آرسنال,لندن (هالووی، لندن),ورزشگاه امارات,۶۰٬۲۶۰
باشگاه فوتبال ای‌اف‌سی بورنموث,بورنموث,ورزشگاه دین کورت,۱۱٬۳۲۹
باشگاه فوتبال برایتون اند هوو آلبیون,برایتون اند هوو,ورزشگاه فالمر,۳۰٬۶۶۶
باشگاه فوتبال برنلی,برنلی,ورزشگاه تارف مور,۲۱٬۹۴۴
باشگاه فوتبال کاردیف سیتی,کاردیف,ورزشگاه کاردیف سیتی,۳۳٬۳۱۶
باشگاه فوتبال چلسی,لندن (فولام),ورزشگاه استمفورد بریج,۴۰٬۸۵۳
باشگاه فوتبال کریستال پالاس,لندن (Selhurst),ورزشگاه سلهارست پارک,۲۶٬۰۷۴
باشگاه فوتبال اورتون,لیورپول (Walton),ورزشگاه گودیسون پارک,۳۹٬۲۲۱
باشگاه فوتبال فولام,لندن (فولام),ورزشگاه کریون کاتج,۲۵٬۷۰۰
باشگاه فوتبال هادرزفیلد تاون,هادرزفیلد,ورزشگاه کرکلیس,۲۴٬۵۰۰
باشگاه فوتبال لستر سیتی,لستر,ورزشگاه کینگ‌پاور,۳۲٬۲۷۳
باشگاه فوتبال لیورپول,لیورپول (Anfield),ورزشگاه آنفیلد,۵۴٬۰۷۴
باشگاه فوتبال منچستر سیتی,منچستر,ورزشگاه شهر منچستر,۵۵٬۰۱۷
باشگاه فوتبال منچستر یونایتد,ترافورد,ورزشگاه الدترافورد,۷۴٬۸۷۹
باشگاه فوتبال نیوکاسل یونایتد,نیوکاسل,ورزشگاه سنت جیمز پارک,۵۲٬۳۵۴
باشگاه فوتبال ساوت‌همپتون,ساوت‌همپتون,ورزشگاه سنت مریز,۳۲٬۳۸۴
تاتنهام هاتسپر,ومبلی، لندن,ورزشگاه ومبلی,۹۰٬۰۰۰
باشگاه فوتبال واتفورد,واتفورد,ورزشگاه ویکاریج رود,۲۰٬۴۰۰
باشگاه فوتبال وستهام یونایتد,لندن (استراتفورد، لندن),ورزشگاه المپیک لندن,۶۰٬۰۰۰
باشگاه فوتبال ولورهمپتون واندررز,ولورهمپتون,ورزشگاه مالینیو,۳۲٬۰۵۰
