Team,Location,Stadium,Capacity[65]
Arsenal,London (Holloway),Emirates Stadium,60704
Aston Villa,Birmingham,Villa Park,42785
Bournemouth,Bournemouth,Dean Court,11329
Brighton & Hove Albion,Falmer,Falmer Stadium,30750
Burnley,Burnley,Turf Moor,21944
Chelsea,London (Fulham),Stamford Bridge,40834
Crystal Palace,London (Selhurst),Selhurst Park,25486
Everton,Liverpool (Walton),Goodison Park,39414
Leicester City,Leicester,King Power Stadium,32243
Liverpool,Liverpool (Anfield),Anfield,53394
Manchester City,Manchester (Bradford),City of Manchester Stadium,55097
Manchester United,Trafford (Old Trafford),Old Trafford,74879
Newcastle United,Newcastle upon Tyne,St James' Park,52388
Norwich City,Norwich,Carrow Road,27244
Sheffield United,Sheffield,Bramall Lane,32125
Southampton,Southampton,St Mary's Stadium,32505
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62303
Watford,Watford,Vicarage Road,22220
West Ham United,London (Stratford),London Stadium,60000
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,32050
