Award,Winner,Club
Premier League Manager of the Season,Jürgen Klopp[192],Liverpool
Premier League Player of the Season,Kevin De Bruyne[193],Manchester City
Premier League Young Player of the Season,Phil Foden[194],Manchester City
Premier League Goal of the Season,Mohamed Salah[195],Liverpool
Premier League Save of the Season,Jordan Pickford[196],Everton
Premier League Game Changer of the Season,İlkay Gündoğan[197],Manchester City
Premier League Most Powerful Goal,Fernandinho[198],Manchester City
PFA Players' Player of the Year,Mohamed Salah[199],Liverpool
PFA Young Player of the Year,Phil Foden[199],Manchester City
FWA Footballer of the Year,Mohamed Salah[200],Liverpool
PFA Fans' Player of the Year,Mohamed Salah[201],Liverpool
