Team,Outgoing manager,Manner of departure,Date of vacancy,Position in the table,Incoming manager,Date of appointment
Manchester United,Ralf Rangnick[90],End of interim spell,22 May 2022,Pre-season,Erik ten Hag[90],23 May 2022
Bournemouth,Scott Parker[91],Sacked,30 August 2022,17th,Gary O'Neil[note 1][92][93],30 August 2022
Chelsea,Thomas Tuchel[94],Sacked,7 September 2022,6th,Graham Potter[95],8 September 2022
Brighton & Hove Albion,Graham Potter[96],Signed by Chelsea,8 September 2022,4th,Roberto De Zerbi[97],18 September 2022
Wolverhampton Wanderers,Bruno Lage[98],Sacked,2 October 2022,18th,Steve Davis (interim)[99],2 October 2022
Aston Villa,Steven Gerrard[100],Sacked,20 October 2022,17th,Aaron Danks (interim)[101],21 October 2022
Aston Villa,Aaron Danks[102],End of interim spell,1 November 2022,16th,Unai Emery[102],1 November 2022
Southampton,Ralph Hasenhüttl[103],Sacked,7 November 2022,18th,Nathan Jones[104],10 November 2022
Wolverhampton Wanderers,Steve Davis[105],End of interim spell,14 November 2022,20th,Julen Lopetegui[105],14 November 2022
Everton,Frank Lampard[106],Sacked,23 January 2023,19th,Sean Dyche[107],30 January 2023
Leeds United,Jesse Marsch[108],Sacked,6 February 2023,17th,Michael Skubala (interim)[109],6 February 2023
Southampton,Nathan Jones[110],Sacked,12 February 2023,20th,Rubén Sellés[note 2][110][111],12 February 2023
Leeds United,Michael Skubala[112],End of interim spell,21 February 2023,19th,Javi Gracia[112],21 February 2023
Crystal Palace,Patrick Vieira[113],Sacked,17 March 2023,12th,Paddy McCarthy (interim)[114],17 March 2023
Crystal Palace,Paddy McCarthy[115],End of interim spell,21 March 2023,12th,Roy Hodgson (interim)[115],21 March 2023
Tottenham Hotspur,Antonio Conte[116],Mutual consent,26 March 2023,4th,Cristian Stellini (interim)[117],26 March 2023
Leicester City,Brendan Rodgers[118],Mutual consent,2 April 2023,19th,Adam Sadler (interim),4 April 2023
Chelsea,Graham Potter[119],Sacked,2 April 2023,11th,Bruno Saltor (interim)[119],2 April 2023
Chelsea,Bruno Saltor[120],End of interim spell,6 April 2023,11th,Frank Lampard (interim)[121],6 April 2023
Leicester City,Adam Sadler[122],End of interim spell,10 April 2023,19th,Dean Smith[123],10 April 2023
Tottenham Hotspur,Cristian Stellini (interim)[124],Sacked,24 April 2023,5th,Ryan Mason (interim)[124],24 April 2023
Leeds United,Javi Gracia[125],Sacked,3 May 2023,17th,Sam Allardyce[125],3 May 2023
