Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month,Goal of the Month,Goal of the Month,Save of the Month,Save of the Month,References
Month,Manager,Club,Player,Club,Player,Club,Player,Club,References
August,Ange Postecoglou,Tottenham Hotspur,James Maddison,Tottenham Hotspur,Kaoru Mitoma,Brighton & Hove Albion,Alisson,Liverpool,[167][168][169][170]
September,Ange Postecoglou,Tottenham Hotspur,Son Heung-min,Tottenham Hotspur,Bruno Fernandes,Manchester United,Robert Sánchez,Chelsea,[171][172][173][174]
October,Ange Postecoglou,Tottenham Hotspur,Mohamed Salah,Liverpool,Saman Ghoddos,Brentford,Alphonse Areola,West Ham United,[175][176][177][178]
November,Erik ten Hag,Manchester United,Harry Maguire,Manchester United,Alejandro Garnacho,Manchester United,Thomas Kaminski,Luton Town,[179][180][181][182]
December,Unai Emery,Aston Villa,Dominic Solanke,Bournemouth,Alexis Mac Allister,Liverpool,Wes Foderingham,Sheffield United,[183][184][185][186]
January,Jürgen Klopp,Liverpool,Diogo Jota,Liverpool,Oscar Bobb,Manchester City,Jordan Pickford,Everton,[187][188][189][190]
February,Mikel Arteta,Arsenal,Rasmus Højlund,Manchester United,Kobbie Mainoo,Manchester United,Mark Flekken,Brentford,[191][192][193][194]
March,Andoni Iraola,Bournemouth,Rodrigo Muniz,Fulham,Marcus Rashford,Manchester United,Matz Sels,Nottingham Forest,[195][196][197][198]
April,Sean Dyche,Everton,Cole Palmer,Chelsea,Cole Palmer,Chelsea,André Onana,Manchester United,[199][200][201][202]
