Team,Outgoing manager,Manner of departure,Date of vacancy,Position in the table,Incoming manager,Date of appointment
Brighton & Hove Albion,Roberto De Zerbi[108],Mutual consent,19 May 2024,Pre-season,Fabian Hürzeler[109],15 June 2024
Liverpool,Jürgen Klopp[110][111],Retired,19 May 2024,Pre-season,Arne Slot[112],1 June 2024
West Ham United,David Moyes[113],End of contract,19 May 2024,Pre-season,Julen Lopetegui[114],1 July 2024
Chelsea,Mauricio Pochettino[115],Mutual consent,21 May 2024,Pre-season,Enzo Maresca[116],3 June 2024
Leicester City,Enzo Maresca[117],Signed by Chelsea,3 June 2024,Pre-season,Steve Cooper[118],20 June 2024
Manchester United,Erik ten Hag[4],Sacked,28 October 2024,14th,Ruud van Nistelrooy (interim)[4],28 October 2024
Manchester United,Ruud van Nistelrooy[5],End of interim spell,11 November 2024,13th,Ruben Amorim[5],11 November 2024
Leicester City,Steve Cooper[119],Sacked,24 November 2024,16th,Ben Dawson (interim)[119],24 November 2024
Leicester City,Ben Dawson[120],End of interim spell,1 December 2024,16th,Ruud van Nistelrooy[7],1 December 2024
Wolverhampton Wanderers,Gary O'Neil[121],Sacked,15 December 2024,19th,Vítor Pereira[122],19 December 2024
Southampton,Russell Martin[123],Sacked,15 December 2024,20th,Simon Rusk (interim)[123],15 December 2024
Southampton,Simon Rusk[124],End of interim spell,22 December 2024,20th,Ivan Jurić[124],22 December 2024
West Ham United,Julen Lopetegui[125],Sacked,8 January 2025,14th,Graham Potter[126],9 January 2025
Everton,Sean Dyche[127],Sacked,9 January 2025,16th,Leighton Baines (interim)[127],9 January 2025
Everton,Leighton Baines[12],End of interim spell,11 January 2025,16th,David Moyes[12],11 January 2025
Southampton,Ivan Jurić[128],Mutual consent,7 April 2025,20th,Simon Rusk (interim)[128],7 April 2025
