تیم,سرمربی,کاپیتان,سازنده کیت,حامی پیراهن (سینه),اسپانسر پیراهن (آستین)
آرسنال,میکل آرتتا,مارتین اودگارد[۶],آدیداس[۷],امارات[۸],ویزت روآندا[۹]
استون ویلا,اونای امری,جان مک‌گین[۱۰],آدیداس[۱۱],[۱۲],تجارت. بین‌الملل[۱۳]
بورنموث,آندونی ایرائولا,نتو[۱۴],آمبرو[۱۵],[۱۶],دیوالت[۱۷]
برنتفورد,توماس فرانک,کریستین نوگارد[۱۸],آمبرو[۱۹],[۲۰],PensionBee[۲۱]
برایتون اند هوو آلبیون,روبرتو د زربی,لوویس دانک[۲۲],نایک[۲۳],امریکن اکسپرس[۲۳],اسنیکرز انگلستان[۲۴]
چلسی,مائوریسیو پوچتینو,ریس جیمز[۲۵],نایک[۲۶],ورزشکار بی‌نهایت[۲۷],[۲۸]
کریستال پالاس,الیور گلاسنر,لوکا میلیوویویچ[۲۹],مکرون[۳۰],سینچ[۳۱],ورزش کاییون[۳۲]
اورتون,شان دایچ,شیموس کولمن[۳۳],هومل[۳۴],Stake.com[۳۵],کیک[۳۶]
فولام,مارکو سیلوا,تام کرنی[۳۷],آدیداس[۳۸],SBOTOP[۳۹],تخت‌های وب[۴۰]
لستر سیتی,انزو مارسکا,نامشخص,آدیداس,کینگ پاور[۴۱],
لیورپول,آرنه اسلوت,ویرجیل فن دایک[۴۲],نایک[۴۳],استاندارد چارترد[۴۴],Expedia[۴۵]
منچسترسیتی,پپ گواردیولا,کایل واکر,پوما[۴۶],هواپیمایی اتحاد[۴۷],[۴۸]
منچستر یونایتد,روبن آموریم,برونو فرناندز[۴۹],آدیداس[۵۰],Qualcomm Snapdragon[۵۱],فناوری DXC[۵۲]
باشگاه فوتبال نیوکاسل یونایتد,ادی هوو,جمال لسلز[۵۳],آدیداس[۵۴],سلا[۵۵],نوون[۵۶]
تاتنهام هاتسپر,آنگه پوستکوگلو,سون هیونگ مین[۵۷],نایک[۵۸],AIA[۵۹],سینچ[۶۰]
وستهام یونایتد,نامشخص,کورت زوما[۶۱],آمبرو[۶۲],[۶۳],JD Sports[۶۴]
ولورهمپتون واندررز,گری نویل,مکس کیلمان[۶۵],کاستور[۶۶],AstroPay[۶۷],۶۶۸۶ اسپورت[۶۸]
