رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,منچستر یونایتد (C),38,22,13,3,80,37,+43,79,مرحله گروهی لیگ قهرمانان اروپا,
2,آرسنال,38,22,12,4,59,17,+42,78,مرحله گروهی لیگ قهرمانان اروپا,
3,چلسی,38,20,15,3,57,30,+27,75,مرحله سوم لیگ قهرمانان اروپا,
4,لیدز یونایتد,38,18,13,7,62,34,+28,67,مرحله اول جام یوفا,
5,وستهام یونایتد,38,16,9,13,46,53,−7,57,مرحله سوم جام اینترتوتو,
6,استون ویلا,38,15,10,13,51,46,+5,55,,
7,لیورپول,38,15,9,14,68,49,+19,54,,
8,دربی کانتی,38,13,13,12,40,45,−5,52,,
9,میدلزبورو,38,12,15,11,48,54,−6,51,,
10,لستر سیتی,38,12,13,13,40,46,−6,49,,
11,تاتنهام هاتسپر,38,11,14,13,47,50,−3,47,مرحله اول جام یوفا 1,
12,شفیلد ونزدی,38,13,7,18,41,42,−1,46,,
13,نیوکاسل یونایتد,38,11,13,14,48,54,−6,46,مرحله اول جام یوفا 2,
14,اورتون,38,11,10,17,42,47,−5,43,,
15,کاونتری سیتی,38,11,9,18,39,51,−12,42,,
16,ویمبلدون,38,10,12,16,40,63,−23,42,,
17,ساوت‌همپتون,38,11,8,19,37,64,−27,41,,
18,چارلتون اتلتیک (R),38,8,12,18,41,56,−15,36,سقوط به لیگ دسته اول فوتبال انگلستان,
19,بلکبرن راورز (R),38,7,14,17,38,52,−14,35,سقوط به لیگ دسته اول فوتبال انگلستان,
20,ناتینگهام فارست (R),38,7,9,22,35,69,−34,30,سقوط به لیگ دسته اول فوتبال انگلستان,
