Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month
Month,Manager,Club,Player,Club
August,Alex Ferguson,Manchester United,Robbie Keane,Coventry City
September,Walter Smith,Everton,Muzzy Izzet,Leicester City
October,Peter Reid,Sunderland,Kevin Phillips,Sunderland
November,Martin O'Neill,Leicester City,Sami Hyypiä,Liverpool
December,Gérard Houllier,Liverpool,Roy Keane,Manchester United
January,Danny Wilson,Sheffield Wednesday,Gareth Southgate,Aston Villa
February,Bobby Robson,Newcastle United,Paul Merson,Aston Villa
March,Alex Ferguson,Manchester United,Dwight Yorke,Manchester United
April,Alex Ferguson,Manchester United,Thierry Henry,Arsenal
