Team,Location,Stadium,Capacity
Arsenal,London (Highbury),Arsenal Stadium,38419
Aston Villa,Birmingham,Villa Park,42573
Bradford City,Bradford,Valley Parade,25136
Chelsea,London (Fulham),Stamford Bridge,42055
Coventry City,Coventry,Highfield Road,23489
Derby County,Derby,Pride Park Stadium,33597
Everton,Liverpool (Walton),Goodison Park,40569
Leeds United,Leeds,Elland Road,40242
Leicester City,Leicester,Filbert Street,22000
Liverpool,Liverpool (Anfield),Anfield,45522
Manchester United,Manchester,Old Trafford,68174
Middlesbrough,Middlesbrough,Riverside Stadium,35049
Newcastle United,Newcastle upon Tyne,St James' Park,52387
Sheffield Wednesday,Sheffield,Hillsborough Stadium,39732
Southampton,Southampton,The Dell,15200
Sunderland,Sunderland,Stadium of Light,49000
Tottenham Hotspur,London (Tottenham),White Hart Lane,36240
Watford,Watford,Vicarage Road,19920
West Ham United,London (Upton Park),Boleyn Ground,35647
Wimbledon,London (Selhurst),Selhurst Park[a],26074
